1	8	15	11	26
2	17	32	15	4
3	4	29	8	26
4	3	20	3	33
5	6	30	6	34
6	5	29	5	19
7	11	10	11	31
8	1	40	3	19
9	7	37	6	34
10	1	26	6	17
11	6	2	2	22
12	21	36	14	18
13	29	27	12	33
14	39	32	12	37
15	20	38	6	22
16	10	15	15	20
17	18	19	18	29
18	26	16	17	9
19	24	23	17	34
20	15	16	22	31
21	22	31	17	1
22	21	6	21	37
23	20	3	24	34
24	19	23	23	37
25	26	29	28	21
26	25	14	25	36
27	30	35	31	15
28	26	31	25	35
29	30	18	30	36
30	29	15	29	10
31	32	35	27	9
32	31	39	19	5
33	35	6	29	5
34	22	9	37	2
35	26	36	36	15
36	1	20	35	16
37	4	6	14	18
38	8	11	39	13
39	21	31	38	10
40	33	19	36	9
