1	10	11	4	26
2	34	31	16	26
3	4	6	8	26
4	3	6	38	26
5	6	27	6	26
6	7	4	16	26
7	6	4	9	26
8	38	6	3	26
9	40	31	7	26
10	16	15	13	26
11	7	1	6	26
12	39	31	14	26
13	14	40	10	26
14	39	31	39	26
15	7	10	16	26
16	3	15	15	26
17	28	32	18	26
18	35	32	19	26
19	8	23	18	26
20	28	31	21	26
21	34	31	20	26
22	29	35	21	26
23	28	37	18	26
24	3	23	19	26
25	21	31	26	16
26	17	27	25	26
27	32	23	32	26
28	25	37	23	26
29	30	33	30	26
30	29	33	30	26
31	6	26	32	26
32	29	26	27	26
33	25	31	28	26
34	22	31	21	26
35	18	31	37	26
36	38	20	39	26
37	24	23	35	26
38	24	17	4	26
39	14	6	14	26
40	38	29	7	26
