1	10	6	8	31
2	12	4	6	28
3	8	15	4	18
4	3	6	3	18
5	6	16	6	27
6	5	16	5	27
7	6	16	6	27
8	1	15	1	23
9	11	16	7	8
10	16	11	16	27
11	6	16	15	27
12	39	37	14	8
13	30	28	14	16
14	39	1	12	4
15	5	37	6	8
16	3	15	2	23
17	18	19	18	32
18	35	19	23	31
19	37	20	32	23
20	23	37	23	24
21	18	32	22	31
22	39	31	21	6
23	20	24	20	24
24	38	23	32	23
25	28	29	26	16
26	18	31	25	16
27	30	15	32	20
28	26	37	25	8
29	30	31	30	33
30	29	31	29	33
31	32	6	32	1
32	31	6	31	1
33	35	16	18	8
34	14	19	37	8
35	18	19	36	8
36	38	20	35	8
37	36	23	14	27
38	36	23	39	3
39	14	15	38	3
40	7	37	7	16
